Edad,Total,Densidad
0,685357,"0,0170839136"
1,670843,"0,0167221227"
2,673512,"0,0167886529"
3,648071,"0,0161544844"
4,659869,"0,0164485734"
5,676130,"0,0168539119"
6,678907,"0,0169231342"
7,676214,"0,0168560057"
8,672139,"0,0167544281"
9,677829,"0,0168962629"
10,710409,"0,0177083855"
11,688510,"0,0171625085"
12,689332,"0,0171829985"
13,678273,"0,0169073305"
14,736922,"0,0183692758"
15,718635,"0,0179134352"
16,697940,"0,0173975704"
17,694855,"0,0173206705"
18,713609,"0,0177881520"
19,717028,"0,0178733775"
20,696027,"0,0173498849"
21,650966,"0,0162266481"
22,649364,"0,0161867150"
23,650536,"0,0162159295"
24,653256,"0,0162837310"
25,628076,"0,0156560684"
26,609056,"0,0151819563"
27,610980,"0,0152299159"
28,649280,"0,0161846211"
29,633117,"0,0157817256"
30,664570,"0,0165657554"
31,634000,"0,0158037361"
32,616677,"0,0153719252"
33,610387,"0,0152151342"
34,573079,"0,0142851566"
35,576593,"0,0143727502"
36,536729,"0,0133790591"
37,529399,"0,0131963440"
38,523856,"0,0130581735"
39,511858,"0,0127590990"
40,509542,"0,0127013680"
41,466858,"0,0116373827"
42,457554,"0,0114054617"
43,438699,"0,0109354625"
44,438122,"0,0109210796"
45,453580,"0,0113064016"
46,443309,"0,0110503761"
47,443939,"0,0110660802"
48,434813,"0,0108385961"
49,420709,"0,0104870253"
50,438777,"0,0109374068"
51,404040,"0,0100715166"
52,401453,"0,0100070304"
53,402606,"0,0100357713"
54,396117,"0,0098740198"
55,391843,"0,0097674817"
56,378645,"0,0094384948"
57,373770,"0,0093169755"
58,367382,"0,0091577416"
59,357310,"0,0089066766"
60,368254,"0,0091794780"
61,326611,"0,0081414417"
62,322889,"0,0080486633"
63,308794,"0,0076973169"
64,294642,"0,0073445496"
65,300258,"0,0074845398"
66,267996,"0,0066803440"
67,254993,"0,0063562178"
68,241580,"0,0060218716"
69,228234,"0,0056891954"
70,240495,"0,0059948257"
71,207883,"0,0051819055"
72,196282,"0,0048927270"
73,188940,"0,0047097128"
74,182297,"0,0045441225"
75,181313,"0,0045195943"
76,161293,"0,0040205552"
77,156639,"0,0039045448"
78,155923,"0,0038866971"
79,146491,"0,0036515853"
80,143485,"0,0035766547"
81,121043,"0,0030172423"
82,111633,"0,0027826790"
83,99919,"0,0024906838"
84,89836,"0,0022393445"
85,80459,"0,0020056038"
86,69234,"0,0017257979"
87,59122,"0,0014737358"
88,49366,"0,0012305477"
89,40156,"0,0010009698"
90,34507,"0,0008601570"
91,23850,"0,0005945096"
92,18664,"0,0004652381"
93,14525,"0,0003620651"
94,11262,"0,0002807282"
95,8298,"0,0002068445"
96,6086,"0,0001517059"
97,4308,"0,0001073856"
98,2917,"0,0000727121"
99,5361,"0,0001336338"
